virus_protein_id,rank,human_protein_id,distance,similarity,cluster_id,primary_cluster,embedding_similarity,virus_mimicry_score
sp|P09299|OBP_VZVD,3,sp|Q14703|MBTP1_HUMAN,0.283240,0.716760,885,885,0.326920,0.521840
sp|P09299|OBP_VZVD,4,sp|O75339|CILP1_HUMAN,0.317374,0.682626,885,885,0.342151,0.512388
sp|P09299|OBP_VZVD,5,sp|O60477|BRNP1_HUMAN,0.318033,0.681967,885,885,0.363952,0.522959
sp|P09308|GL_VZVD,1,sp|O15145|ARPC3_HUMAN,0.074917,0.925083,37,37,0.313976,0.619530
sp|P09308|GL_VZVD,2,sp|P47874|OMP_HUMAN,0.096559,0.903441,37,37,0.305042,0.604242
sp|Q65ZG0|GN_VZVD,1,sp|P0DI80|ERLN_HUMAN,0.139877,0.860123,37,37,0.156677,0.508400
sp|Q65ZG0|GN_VZVD,3,sp|Q9BWV2|SPAT9_HUMAN,0.190065,0.809935,37,37,0.356816,0.583376
sp|P09245|MCP_VZVD,3,sp|P47874|OMP_HUMAN,0.157147,0.842853,37,37,0.194621,0.518737
sp|P09245|MCP_VZVD,4,sp|O15145|ARPC3_HUMAN,0.163929,0.836071,37,37,0.272266,0.554169
sp|P09245|MCP_VZVD,5,sp|Q92561|PHYIP_HUMAN,0.180757,0.819243,37,37,0.198621,0.508932
sp|P09249|TYSY_VZVD,1,sp|P04818|TYSY_HUMAN,0.047031,0.952969,972,972,0.813850,0.883409
sp|P09249|TYSY_VZVD,2,sp|P23921|RIR1_HUMAN,0.305742,0.694258,495,972,0.575955,0.635107
sp|P09249|TYSY_VZVD,3,sp|O75390|CISY_HUMAN,0.327696,0.672304,495,972,0.329115,0.500709
sp|P09249|TYSY_VZVD,4,sp|P38606|VATA_HUMAN,0.329183,0.670817,495,972,0.261176,0.465996
sp|P09249|TYSY_VZVD,5,sp|O14841|OPLA_HUMAN,0.343410,0.656590,495,972,0.367043,0.511816
sp|P09253|AN_VZVD,1,sp|O76075|DFFB_HUMAN,0.314465,0.685535,422,422,0.499639,0.592587
sp|P09253|AN_VZVD,2,sp|Q9NV66|TYW1_HUMAN,0.323464,0.676536,422,422,0.306374,0.491455
sp|P09253|AN_VZVD,3,sp|P15918|RAG1_HUMAN,0.326503,0.673497,422,422,0.504695,0.589096
sp|P09253|AN_VZVD,4,sp|Q6NUM6|TYW1B_HUMAN,0.338778,0.661222,422,422,0.306375,0.483799
sp|P09253|AN_VZVD,5,sp|Q9BVA6|FICD_HUMAN,0.339630,0.660370,422,422,0.457538,0.558954
sp|P09254|DUT_VZVD,1,sp|Q9NV66|TYW1_HUMAN,0.326954,0.673046,422,422,0.455101,0.564073
sp|P09254|DUT_VZVD,2,sp|Q6NUM6|TYW1B_HUMAN,0.331248,0.668752,422,422,0.455079,0.561916
sp|P09254|DUT_VZVD,3,sp|Q6PIW4|FIGL1_HUMAN,0.342902,0.657098,422,422,0.312090,0.484594
sp|P09254|DUT_VZVD,4,sp|Q96TA2|YMEL1_HUMAN,0.347472,0.652528,422,422,0.270709,0.461619
sp|P09254|DUT_VZVD,5,sp|O76075|DFFB_HUMAN,0.349099,0.650901,422,422,0.321155,0.486028
sp|P09264|TEG1_VZVD,1,sp|O75663|TIPRL_HUMAN,0.121137,0.878863,37,37,0.403958,0.641410
sp|P09264|TEG1_VZVD,2,sp|Q5VYS4|MEDAG_HUMAN,0.128125,0.871875,37,37,0.380485,0.626180
sp|P09270|PRIM_VZVD,1,sp|O75592|MYCB2_HUMAN,0.221058,0.778942,423,423,0.294436,0.536689
sp|P09270|PRIM_VZVD,2,sp|P46020|KPB1_HUMAN,0.231644,0.768356,423,423,0.272506,0.520431
sp|P09270|PRIM_VZVD,3,sp|Q5T4S7|UBR4_HUMAN,0.231807,0.768193,423,423,0.242156,0.505175
sp|P09270|PRIM_VZVD,4,sp|O60673|REV3L_HUMAN,0.233098,0.766902,423,423,0.499755,0.633328
sp|P09270|PRIM_VZVD,5,sp|P46019|KPB2_HUMAN,0.233787,0.766213,423,423,0.272506,0.519359
sp|P09271|TEG7_VZVD,2,sp|Q01196|RUNX1_HUMAN,0.216656,0.783344,410,410,0.253175,0.518260
sp|P09271|TEG7_VZVD,3,sp|O75603|GCM2_HUMAN,0.216695,0.783305,410,410,0.257922,0.520614
sp|P09271|TEG7_VZVD,4,sp|Q9NP62|GCM1_HUMAN,0.232401,0.767599,410,410,0.348776,0.558188
sp|P09271|TEG7_VZVD,5,sp|Q13761|RUNX3_HUMAN,0.236944,0.763056,410,410,0.250084,0.506570
sp|P09272|VP22_VZVD,1,sp|Q8NG27|PJA1_HUMAN,0.159267,0.840733,410,410,0.424884,0.632808
sp|P09272|VP22_VZVD,4,sp|Q01196|RUNX1_HUMAN,0.199182,0.800818,410,410,0.328506,0.564662
sp|P09272|VP22_VZVD,5,sp|Q13761|RUNX3_HUMAN,0.205302,0.794698,410,410,0.335467,0.565082
sp|P09274|PAP_VZVD,1,sp|O75592|MYCB2_HUMAN,0.231477,0.768523,423,423,0.332012,0.550267
sp|P09274|PAP_VZVD,2,sp|Q9Y4D8|HECD4_HUMAN,0.234812,0.765188,423,423,0.290792,0.527990
sp|P09274|PAP_VZVD,3,sp|Q9Y4E5|ZN451_HUMAN,0.242475,0.757525,423,423,0.394420,0.575972
sp|P09274|PAP_VZVD,4,sp|Q2KHT3|CL16A_HUMAN,0.250431,0.749569,423,423,0.327898,0.538734
sp|P09274|PAP_VZVD,5,sp|Q03468|ERCC6_HUMAN,0.253974,0.746026,423,423,0.514229,0.630128
sp|P09275|SHUT_VZVD,1,sp|Q8IYB4|PEX5R_HUMAN,0.296538,0.703462,422,422,0.314959,0.509210
sp|P09275|SHUT_VZVD,2,sp|Q6PIW4|FIGL1_HUMAN,0.296974,0.703026,422,422,0.362087,0.532557
sp|P09275|SHUT_VZVD,3,sp|Q9BVA6|FICD_HUMAN,0.301395,0.698605,422,422,0.439510,0.569057
sp|P09275|SHUT_VZVD,4,sp|Q9NV66|TYW1_HUMAN,0.312324,0.687676,422,422,0.360840,0.524258
sp|P09275|SHUT_VZVD,5,sp|O76075|DFFB_HUMAN,0.312847,0.687153,422,422,0.474440,0.580796
sp|P09277|ITP_VZVD,1,sp|P47874|OMP_HUMAN,0.100929,0.899071,37,37,0.337096,0.618083
sp|P09277|ITP_VZVD,2,sp|O15145|ARPC3_HUMAN,0.107527,0.892473,37,37,0.368726,0.630600
sp|P09277|ITP_VZVD,3,sp|Q6V702|CF299_HUMAN,0.114392,0.885608,37,37,0.402204,0.643906
sp|P09280|NEC2_VZVD,1,sp|O15145|ARPC3_HUMAN,0.074472,0.925528,37,37,0.416828,0.671178
sp|P09280|NEC2_VZVD,3,sp|P47874|OMP_HUMAN,0.092357,0.907643,37,37,0.259016,0.583329
sp|P09280|NEC2_VZVD,5,sp|O75663|TIPRL_HUMAN,0.125066,0.874934,37,37,0.300305,0.587619
sp|P09281|TRM2_VZVD,2,sp|O15145|ARPC3_HUMAN,0.100600,0.899400,37,37,0.420350,0.659875
sp|P09282|UL32_VZVD,1,sp|O15145|ARPC3_HUMAN,0.099214,0.900786,37,37,0.445207,0.672997
sp|P09282|UL32_VZVD,4,sp|P47874|OMP_HUMAN,0.131358,0.868642,37,37,0.346501,0.607571
sp|P09283|NEC1_VZVD,1,sp|O15145|ARPC3_HUMAN,0.109389,0.890611,37,37,0.416822,0.653716
sp|P09283|NEC1_VZVD,4,sp|P47874|OMP_HUMAN,0.127614,0.872386,37,37,0.259098,0.565742
sp|P09283|NEC1_VZVD,5,sp|Q92561|PHYIP_HUMAN,0.133275,0.866725,37,37,0.293923,0.580324
sp|P09284|TRM1_VZVD,1,sp|O15145|ARPC3_HUMAN,0.114650,0.885350,37,37,0.398151,0.641750
sp|P09284|TRM1_VZVD,2,sp|P47874|OMP_HUMAN,0.125781,0.874219,37,37,0.214182,0.544200
sp|P09284|TRM1_VZVD,3,sp|Q92561|PHYIP_HUMAN,0.131782,0.868218,37,37,0.218947,0.543582
sp|P09284|TRM1_VZVD,5,sp|Q6V702|CF299_HUMAN,0.142441,0.857559,37,37,0.300541,0.579050
sp|P09287|CVC2_VZVD,1,sp|P47874|OMP_HUMAN,0.101117,0.898883,37,37,0.243136,0.571010
sp|P09287|CVC2_VZVD,2,sp|O15145|ARPC3_HUMAN,0.107008,0.892992,37,37,0.360470,0.626731
sp|P09287|CVC2_VZVD,5,sp|Q6V702|CF299_HUMAN,0.137735,0.862265,37,37,0.347542,0.604904
sp|P09288|UL24_VZVD,1,sp|Q9BVA6|FICD_HUMAN,0.308624,0.691376,422,422,0.307950,0.499663
sp|P09288|UL24_VZVD,2,sp|O76075|DFFB_HUMAN,0.309698,0.690302,422,422,0.343906,0.517104
sp|P09288|UL24_VZVD,3,sp|P15918|RAG1_HUMAN,0.318518,0.681482,422,422,0.321201,0.501341
sp|P09288|UL24_VZVD,4,sp|Q96E52|OMA1_HUMAN,0.331520,0.668480,422,422,0.317311,0.492896
sp|P09288|UL24_VZVD,5,sp|Q5T9A4|ATD3B_HUMAN,0.333165,0.666835,422,422,0.391346,0.529091
sp|P09289|TEG4_VZVD,1,sp|O15145|ARPC3_HUMAN,0.122826,0.877174,37,37,0.383523,0.630349
sp|P09289|TEG4_VZVD,2,sp|O75663|TIPRL_HUMAN,0.123315,0.876685,37,37,0.404449,0.640567
sp|P09289|TEG4_VZVD,5,sp|P47874|OMP_HUMAN,0.126714,0.873286,37,37,0.351357,0.612322
sp|P09291|TRX2_VZVD,1,sp|P47874|OMP_HUMAN,0.112965,0.887035,37,37,0.218024,0.552530
sp|P09291|TRX2_VZVD,2,sp|Q6V702|CF299_HUMAN,0.125360,0.874640,37,37,0.293814,0.584227
sp|P09291|TRX2_VZVD,3,sp|O15145|ARPC3_HUMAN,0.127942,0.872058,37,37,0.370009,0.621034
sp|P09291|TRX2_VZVD,5,sp|Q92561|PHYIP_HUMAN,0.144656,0.855344,37,37,0.242874,0.549109
sp|P09292|CVC1_VZVD,2,sp|O15145|ARPC3_HUMAN,0.108829,0.891171,37,37,0.381345,0.636258
sp|P09292|CVC1_VZVD,3,sp|P47874|OMP_HUMAN,0.117240,0.882760,37,37,0.258272,0.570516
sp|P09292|CVC1_VZVD,5,sp|O75663|TIPRL_HUMAN,0.125365,0.874635,37,37,0.257973,0.566304
sp|P09293|CEP2_VZVD,1,sp|O15145|ARPC3_HUMAN,0.083662,0.916338,37,37,0.364315,0.640327
sp|P09293|CEP2_VZVD,4,sp|P47874|OMP_HUMAN,0.099483,0.900517,37,37,0.355879,0.628198
sp|P09293|CEP2_VZVD,5,sp|Q9NXF7|DCA16_HUMAN,0.133521,0.866479,37,37,0.415487,0.640983
sp|P09294|TRM3_VZVD,1,sp|P15918|RAG1_HUMAN,0.273968,0.726032,422,422,0.386902,0.556467
sp|P09294|TRM3_VZVD,2,sp|O76075|DFFB_HUMAN,0.275069,0.724931,422,422,0.409678,0.567305
sp|P09294|TRM3_VZVD,3,sp|Q9NV66|TYW1_HUMAN,0.279318,0.720682,422,422,0.337416,0.529049
sp|P09294|TRM3_VZVD,4,sp|Q5T9A4|ATD3B_HUMAN,0.297256,0.702744,422,422,0.396961,0.549852
sp|P09294|TRM3_VZVD,5,sp|Q6NUM6|TYW1B_HUMAN,0.302831,0.697169,422,422,0.337415,0.517292
sp|P09295|TEG3_VZVD,1,sp|Q9Y5K3|PCY1B_HUMAN,0.275143,0.724857,422,422,0.283034,0.503946
sp|P09295|TEG3_VZVD,2,sp|Q8IYB4|PEX5R_HUMAN,0.277278,0.722722,422,422,0.388282,0.555502
sp|P09295|TEG3_VZVD,3,sp|Q96TA2|YMEL1_HUMAN,0.281421,0.718579,422,422,0.290816,0.504697
sp|P09295|TEG3_VZVD,4,sp|Q6PIW4|FIGL1_HUMAN,0.286420,0.713580,422,422,0.450707,0.582144
sp|P09295|TEG3_VZVD,5,sp|Q6NUM6|TYW1B_HUMAN,0.290293,0.709707,422,422,0.310167,0.509937
sp|P09300|HEPA_VZVD,1,sp|O76075|DFFB_HUMAN,0.285725,0.714275,422,422,0.306531,0.510403
sp|P09300|HEPA_VZVD,2,sp|Q9NV66|TYW1_HUMAN,0.316117,0.683883,422,422,0.317175,0.500529
sp|P09300|HEPA_VZVD,3,sp|P15918|RAG1_HUMAN,0.317258,0.682742,422,422,0.388495,0.535619
sp|P09300|HEPA_VZVD,4,sp|Q6PIW4|FIGL1_HUMAN,0.324382,0.675618,422,422,0.368233,0.521925
sp|P09300|HEPA_VZVD,5,sp|Q6NUM6|TYW1B_HUMAN,0.326291,0.673709,422,422,0.317178,0.495444
sp|P09301|CEP1_VZVD,1,sp|P47874|OMP_HUMAN,0.103863,0.896137,37,37,0.288843,0.592490
sp|P09301|CEP1_VZVD,2,sp|O15145|ARPC3_HUMAN,0.105235,0.894765,37,37,0.337239,0.616002
sp|P09301|CEP1_VZVD,3,sp|Q6V702|CF299_HUMAN,0.119109,0.880891,37,37,0.392365,0.636628
sp|P09302|PORTL_VZVD,1,sp|O75663|TIPRL_HUMAN,0.142536,0.857464,37,37,0.323535,0.590499
sp|P09302|PORTL_VZVD,2,sp|Q5VYS4|MEDAG_HUMAN,0.144596,0.855404,37,37,0.218574,0.536989
sp|P09303|HELI_VZVD,1,sp|O76075|DFFB_HUMAN,0.265318,0.734682,422,422,0.314098,0.524390
sp|P09303|HELI_VZVD,2,sp|Q6PIW4|FIGL1_HUMAN,0.285987,0.714013,422,422,0.340820,0.527417
sp|P09303|HELI_VZVD,3,sp|P15918|RAG1_HUMAN,0.293134,0.706866,422,422,0.379560,0.543213
sp|P09303|HELI_VZVD,4,sp|Q9NV66|TYW1_HUMAN,0.298184,0.701816,422,422,0.306707,0.504261
sp|P09303|HELI_VZVD,5,sp|Q6NUM6|TYW1B_HUMAN,0.304055,0.695945,422,422,0.306722,0.501333
sp|P09307|UNG_VZVD,1,sp|P13051|UNG_HUMAN,0.144779,0.855221,592,592,0.693889,0.774555
sp|P09307|UNG_VZVD,2,sp|Q9Y236|OSGI2_HUMAN,0.261458,0.738542,584,592,0.372426,0.555484
sp|P09307|UNG_VZVD,3,sp|P29475|NOS1_HUMAN,0.263706,0.736294,584,592,0.305137,0.520716
sp|P09307|UNG_VZVD,4,sp|Q8N3C0|ASCC3_HUMAN,0.265399,0.734601,584,592,0.467324,0.600963
sp|P09307|UNG_VZVD,5,sp|P27708|PYR1_HUMAN,0.265730,0.734270,584,592,0.459356,0.596813
sp|P28276|ICP27_HHV2H,2,sp|Q96D98|EID2B_HUMAN,0.170895,0.829105,37,37,0.372801,0.600953
sp|P28276|ICP27_HHV2H,3,sp|O75956|CDKA2_HUMAN,0.171798,0.828202,37,37,0.452403,0.640303
sp|P28276|ICP27_HHV2H,5,sp|Q5VYS4|MEDAG_HUMAN,0.177080,0.822920,37,37,0.301875,0.562398
sp|P89462|RIR1_HHV2H,1,sp|Q00653|NFKB2_HUMAN,0.219853,0.780147,768,768,0.421805,0.600976
sp|P89462|RIR1_HHV2H,2,sp|P52630|STAT2_HUMAN,0.235539,0.764461,768,768,0.399857,0.582159
sp|P89462|RIR1_HHV2H,4,sp|P48167|GLRB_HUMAN,0.259685,0.740315,768,768,0.313329,0.526822
sp|P89462|RIR1_HHV2H,5,sp|A8MXD5|GRCR1_HUMAN,0.267058,0.732942,768,768,0.243690,0.488316
sp|P08666|GB_HHV2H,1,sp|O75339|CILP1_HUMAN,0.258219,0.741781,885,885,0.275146,0.508463
sp|P08666|GB_HHV2H,2,sp|Q76B58|BRNP3_HUMAN,0.274269,0.725731,885,885,0.253907,0.489819
sp|P08666|GB_HHV2H,3,sp|Q8IUL8|CILP2_HUMAN,0.277366,0.722634,885,885,0.300816,0.511725
sp|P08666|GB_HHV2H,4,sp|Q9C0B6|BRNP2_HUMAN,0.278784,0.721216,885,885,0.186941,0.454079
sp|P08666|GB_HHV2H,5,sp|Q4ZHG4|FNDC1_HUMAN,0.281357,0.718643,885,885,0.360759,0.539701
sp|P13287|US03_HHV2H,1,sp|Q9NRM7|LATS2_HUMAN,0.180068,0.819932,586,586,0.452507,0.636220
sp|P13287|US03_HHV2H,2,sp|Q9Y463|DYR1B_HUMAN,0.192761,0.807239,586,586,0.558959,0.683099
sp|P13287|US03_HHV2H,3,sp|Q00536|CDK16_HUMAN,0.193875,0.806125,586,586,0.514793,0.660459
sp|P13287|US03_HHV2H,4,sp|O43781|DYRK3_HUMAN,0.200948,0.799052,586,586,0.513811,0.656431
sp|P13287|US03_HHV2H,5,sp|Q9HBH9|MKNK2_HUMAN,0.201709,0.798291,586,586,0.552157,0.675224
sp|P13291|GI_HHV2H,1,sp|Q9P2J2|TUTLA_HUMAN,0.209364,0.790636,881,881,0.352317,0.571477
sp|P13291|GI_HHV2H,2,sp|Q8WZ75|ROBO4_HUMAN,0.221611,0.778389,881,881,0.316166,0.547277
sp|P13291|GI_HHV2H,3,sp|Q99558|M3K14_HUMAN,0.235174,0.764826,881,881,0.240712,0.502769
sp|P13291|GI_HHV2H,4,sp|O95153|RIMB1_HUMAN,0.238934,0.761066,881,881,0.354421,0.557743
sp|P13291|GI_HHV2H,5,sp|Q6ZSY5|PPR3F_HUMAN,0.240728,0.759272,881,881,0.252167,0.505719
sp|P13292|US02_HHV2H,4,sp|Q92561|PHYIP_HUMAN,0.184525,0.815475,37,37,0.364841,0.590158
sp|P13292|US02_HHV2H,5,sp|Q9NXF7|DCA16_HUMAN,0.186188,0.813812,37,37,0.428278,0.621045
sp|P13294|CEP3_HHV2H,2,sp|Q8NG27|PJA1_HUMAN,0.248484,0.751516,410,410,0.405835,0.578676
sp|P13294|CEP3_HHV2H,3,sp|Q8NHG8|ZNRF2_HUMAN,0.258792,0.741208,410,410,0.337849,0.539529
sp|P13294|CEP3_HHV2H,4,sp|Q13761|RUNX3_HUMAN,0.268116,0.731884,410,410,0.325397,0.528641
sp|P14345|ICP47_HHV2H,4,sp|O97980|HMHB1_HUMAN,0.116599,0.883401,36,36,0.436471,0.659936
sp|P14345|ICP47_HHV2H,5,sp|Q8IZY5|BLID_HUMAN,0.118074,0.881926,36,36,0.382806,0.632366
sp|P89436|UL13_HHV2H,1,sp|Q96Q15|SMG1_HUMAN,0.215714,0.784286,423,423,0.526880,0.655583
sp|P89436|UL13_HHV2H,2,sp|Q9NR09|BIRC6_HUMAN,0.216424,0.783576,423,423,0.376233,0.579904
sp|P89436|UL13_HHV2H,4,sp|O43149|ZZEF1_HUMAN,0.227713,0.772287,423,423,0.343397,0.557842
sp|P89436|UL13_HHV2H,5,sp|Q9H792|PEAK1_HUMAN,0.228196,0.771804,423,423,0.454575,0.613189
sp|P89445|GH_HHV2H,1,sp|Q9C0B6|BRNP2_HUMAN,0.268685,0.731315,885,885,0.192981,0.462148
sp|P89445|GH_HHV2H,2,sp|Q8IUL8|CILP2_HUMAN,0.280302,0.719698,885,885,0.258201,0.488949
sp|P89445|GH_HHV2H,3,sp|Q76B58|BRNP3_HUMAN,0.290854,0.709146,885,885,0.267717,0.488431
sp|P89445|GH_HHV2H,4,sp|Q4ZHG4|FNDC1_HUMAN,0.314937,0.685063,885,885,0.350309,0.517686
sp|P89445|GH_HHV2H,5,sp|O75339|CILP1_HUMAN,0.322874,0.677126,885,885,0.275007,0.476067
sp|P89449|SCAF_HHV2H,1,sp|Q13761|RUNX3_HUMAN,0.247362,0.752638,410,410,0.320590,0.536614
sp|P89449|SCAF_HHV2H,2,sp|Q01196|RUNX1_HUMAN,0.261852,0.738148,410,410,0.296931,0.517539
sp|P89449|SCAF_HHV2H,4,sp|Q86XN8|MEX3D_HUMAN,0.272249,0.727751,410,410,0.363718,0.545735
sp|P89449|SCAF_HHV2H,5,sp|Q8NE35|CPEB3_HUMAN,0.277672,0.722328,410,410,0.368894,0.545611
sp|P89459|LTP_HHV2H,2,sp|Q96D98|EID2B_HUMAN,0.110364,0.889636,37,37,0.290204,0.589920
sp|P89459|LTP_HHV2H,3,sp|O75956|CDKA2_HUMAN,0.134000,0.866000,37,37,0.461899,0.663949
sp|P89459|LTP_HHV2H,4,sp|O14519|CDKA1_HUMAN,0.149729,0.850271,37,37,0.419284,0.634777
sp|P89475|GE_HHV2H,1,sp|Q8IUL8|CILP2_HUMAN,0.235168,0.764832,885,885,0.218959,0.491895
sp|P89475|GE_HHV2H,2,sp|Q4ZHG4|FNDC1_HUMAN,0.236244,0.763756,885,885,0.328163,0.545960
sp|P89475|GE_HHV2H,3,sp|Q9C0B6|BRNP2_HUMAN,0.244958,0.755042,885,885,0.314378,0.534710
sp|P89475|GE_HHV2H,5,sp|Q76B58|BRNP3_HUMAN,0.266321,0.733679,885,885,0.342964,0.538321
sp|P89477|US9_HHV2H,4,sp|Q96D98|EID2B_HUMAN,0.257899,0.742101,37,40,0.260885,0.501493
sp|P90493|ICP4_HHV2H,1,sp|Q9P2J2|TUTLA_HUMAN,0.227534,0.772466,881,881,0.309384,0.540925
sp|P90493|ICP4_HHV2H,2,sp|Q8TAP8|PPR35_HUMAN,0.231405,0.768595,881,881,0.382334,0.575464
sp|P90493|ICP4_HHV2H,4,sp|Q9BTK6|PAGR1_HUMAN,0.245044,0.754956,881,881,0.483792,0.619374
sp|P90493|ICP4_HHV2H,5,sp|A6NHQ4|EPOP_HUMAN,0.250794,0.749206,881,881,0.466705,0.607956
sp|Q89730|GC_HHV2H,1,sp|Q2TAL6|VWC2_HUMAN,0.271214,0.728786,544,544,0.527045,0.627915
sp|Q89730|GC_HHV2H,2,sp|P09758|TACD2_HUMAN,0.279248,0.720752,544,544,0.414792,0.567772
sp|Q89730|GC_HHV2H,3,sp|Q8IUK5|PLDX1_HUMAN,0.290039,0.709961,544,544,0.455059,0.582510
sp|Q89730|GC_HHV2H,4,sp|Q9UBP4|DKK3_HUMAN,0.293174,0.706826,544,544,0.303452,0.505139
sp|Q89730|GC_HHV2H,5,sp|Q92563|TICN2_HUMAN,0.293746,0.706254,544,544,0.339495,0.522875
sp|P13290|GG_HHV2H,1,sp|Q6UXF1|TM108_HUMAN,0.184396,0.815604,152,883,0.311628,0.563616
sp|P13290|GG_HHV2H,2,sp|O95196|CSPG5_HUMAN,0.211566,0.788434,152,883,0.343948,0.566191
sp|P13290|GG_HHV2H,3,sp|O14594|NCAN_HUMAN,0.215150,0.784850,152,883,0.396955,0.590903
sp|P13290|GG_HHV2H,4,sp|A1L4H1|SRCRL_HUMAN,0.217275,0.782725,152,883,0.465620,0.624173
sp|P13290|GG_HHV2H,5,sp|Q9BUN1|MENT_HUMAN,0.229094,0.770906,883,883,0.328383,0.549645
sp|P13293|GJ_HHV2H,1,sp|Q96D98|EID2B_HUMAN,0.184693,0.815307,37,37,0.386371,0.600839
sp|P13293|GJ_HHV2H,2,sp|P0DI80|ERLN_HUMAN,0.204847,0.795153,37,37,0.257288,0.526221
sp|P13293|GJ_HHV2H,5,sp|O75956|CDKA2_HUMAN,0.221686,0.778314,37,37,0.381628,0.579971
sp|P22485|GK_HHV2H,1,sp|Q9UKY0|PRND_HUMAN,0.168868,0.831132,37,40,0.380958,0.606045
sp|P22485|GK_HHV2H,2,sp|Q5VYS4|MEDAG_HUMAN,0.169968,0.830032,37,40,0.370832,0.600432
sp|P22485|GK_HHV2H,4,sp|O75663|TIPRL_HUMAN,0.192671,0.807329,37,40,0.319370,0.563349
sp|P28278|GL_HHV2H,2,sp|O15145|ARPC3_HUMAN,0.132481,0.867519,37,37,0.313879,0.590699
sp|P28278|GL_HHV2H,3,sp|P47874|OMP_HUMAN,0.133341,0.866659,37,37,0.304953,0.585806
sp|P28278|GL_HHV2H,4,sp|Q96D98|EID2B_HUMAN,0.139401,0.860599,37,37,0.318993,0.589796
sp|P28282|UL56_HHV2H,1,sp|Q9NV92|NFIP2_HUMAN,0.174570,0.825430,401,401,0.532275,0.678853
sp|P28282|UL56_HHV2H,2,sp|Q9BT67|NFIP1_HUMAN,0.273095,0.726905,401,401,0.517026,0.621966
sp|P28282|UL56_HHV2H,3,sp|Q99946|PRRT1_HUMAN,0.275341,0.724659,401,401,0.395741,0.560200
sp|P28282|UL56_HHV2H,4,sp|Q8NHG8|ZNRF2_HUMAN,0.284830,0.715170,410,401,0.428445,0.571807
sp|P28282|UL56_HHV2H,5,sp|A1L020|MEX3A_HUMAN,0.285378,0.714622,410,401,0.358393,0.536508
sp|P28283|ICP34_HHV2H,1,sp|Q9H7X2|RDD1_HUMAN,0.241751,0.758249,20,20,0.342723,0.550486
sp|P28283|ICP34_HHV2H,2,sp|Q8TAP8|PPR35_HUMAN,0.242629,0.757371,881,20,0.392654,0.575012
sp|P28283|ICP34_HHV2H,3,sp|B7ZBB8|PP13G_HUMAN,0.245841,0.754159,881,20,0.391982,0.573070
sp|P28283|ICP34_HHV2H,4,sp|A6NHQ4|EPOP_HUMAN,0.255145,0.744855,881,20,0.428091,0.586473
sp|P28283|ICP34_HHV2H,5,sp|Q86SH2|ZAR1_HUMAN,0.276403,0.723597,881,20,0.414588,0.569093
sp|P28284|ICP0_HHV2H,1,sp|Q86XN8|MEX3D_HUMAN,0.139503,0.860497,410,410,0.334286,0.597392
sp|P28284|ICP0_HHV2H,2,sp|Q8NHG8|ZNRF2_HUMAN,0.171070,0.828930,410,410,0.273799,0.551364
sp|P28284|ICP0_HHV2H,3,sp|Q8NG27|PJA1_HUMAN,0.179412,0.820588,410,410,0.350332,0.585460
sp|P28284|ICP0_HHV2H,5,sp|A1L020|MEX3A_HUMAN,0.205278,0.794722,410,410,0.334286,0.564504
sp|P68336|VP16_HHV2H,2,sp|Q01196|RUNX1_HUMAN,0.181759,0.818241,410,410,0.453764,0.636002
sp|P68336|VP16_HHV2H,4,sp|Q13761|RUNX3_HUMAN,0.205972,0.794028,410,410,0.441308,0.617668
sp|P68336|VP16_HHV2H,5,sp|Q13950|RUNX2_HUMAN,0.215210,0.784790,410,410,0.478596,0.631693
sp|P68340|SHUT_HHV2H,1,sp|P49585|PCY1A_HUMAN,0.261319,0.738681,422,422,0.233787,0.486234
sp|P68340|SHUT_HHV2H,2,sp|Q9Y5K3|PCY1B_HUMAN,0.267593,0.732407,422,422,0.233787,0.483097
sp|P68340|SHUT_HHV2H,3,sp|O76075|DFFB_HUMAN,0.286425,0.713575,422,422,0.418809,0.566192
sp|P68340|SHUT_HHV2H,4,sp|Q6PIW4|FIGL1_HUMAN,0.295681,0.704319,422,422,0.349045,0.526682
sp|P68340|SHUT_HHV2H,5,sp|Q5T9A4|ATD3B_HUMAN,0.298022,0.701978,422,422,0.427348,0.564663
sp|P69521|RIR2_HHV2H,1,sp|Q7Z478|DHX29_HUMAN,0.346154,0.653846,584,584,0.334440,0.494143
sp|P69521|RIR2_HHV2H,2,sp|Q6P158|DHX57_HUMAN,0.348411,0.651589,584,584,0.264972,0.458280
sp|P69521|RIR2_HHV2H,3,sp|P27708|PYR1_HUMAN,0.349189,0.650811,584,584,0.372384,0.511597
sp|P69521|RIR2_HHV2H,4,sp|Q7L2E3|DHX30_HUMAN,0.358532,0.641468,584,584,0.433109,0.537288
sp|P69521|RIR2_HHV2H,5,sp|Q99707|METH_HUMAN,0.365424,0.634576,584,584,0.309297,0.471937
sp|P89432|OBP_HHV2H,1,sp|O60477|BRNP1_HUMAN,0.258059,0.741941,885,760,0.326426,0.534184
sp|P89432|OBP_HHV2H,2,sp|Q5SY80|CTSRE_HUMAN,0.275215,0.724785,885,760,0.361716,0.543251
sp|P89432|OBP_HHV2H,4,sp|Q14703|MBTP1_HUMAN,0.285804,0.714196,885,760,0.312891,0.513544
sp|P89432|OBP_HHV2H,5,sp|Q76B58|BRNP3_HUMAN,0.291206,0.708794,885,760,0.292511,0.500653
sp|P89433|GM_HHV2H,1,sp|Q9H0V1|TM168_HUMAN,0.231389,0.768611,160,160,0.353144,0.560878
